Departments,description,message_clean,tokens,tokens_refined
immunogenetics,hermansky pudlak syndrome 6 a type of hermansky pudlak syndrome that has material basis in homozygous or compound heterozygous mutation in the hps6 gene on chromosome 10q24.  hermansky pudlak syndrome  immunogenetics,hermansky pudlak syndrome 6 a type of hermansky pudlak syndrome that has material basis in homozygous or compound heterozygous mutation in the hps6 gene on chromosome 10q24  hermansky pudlak syndrome  immunogenetics,"['hermansky', 'pudlak', 'syndrome', '6', 'a', 'type', 'of', 'hermansky', 'pudlak', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'or', 'compound', 'heterozygous', 'mutation', 'in', 'the', 'hps6', 'gene', 'on', 'chromosome', '10q24', 'hermansky', 'pudlak', 'syndrome', 'immunogenetics']","['hermansky', 'pudlak', 'syndrome', '6', 'type', 'hermansky', 'pudlak', 'syndrome', 'material', 'basis', 'homozygous', 'compound', 'heterozygous', 'mutation', 'hps6', 'gene', 'chromosome', '10q24', 'hermansky', 'pudlak', 'syndrome', 'immunogenetics']"
immunogenetics,hermansky pudlak syndrome 7 a type of hermansky pudlak syndrome that has material basis in homozygous mutation in the dtnbp1 gene on chromosome 6p22.3.  hermansky pudlak syndrome  immunogenetics,hermansky pudlak syndrome 7 a type of hermansky pudlak syndrome that has material basis in homozygous mutation in the dtnbp1 gene on chromosome 6p223  hermansky pudlak syndrome  immunogenetics,"['hermansky', 'pudlak', 'syndrome', '7', 'a', 'type', 'of', 'hermansky', 'pudlak', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'mutation', 'in', 'the', 'dtnbp1', 'gene', 'on', 'chromosome', '6p223', 'hermansky', 'pudlak', 'syndrome', 'immunogenetics']","['hermansky', 'pudlak', 'syndrome', '7', 'type', 'hermansky', 'pudlak', 'syndrome', 'material', 'basis', 'homozygous', 'mutation', 'dtnbp1', 'gene', 'chromosome', '6p223', 'hermansky', 'pudlak', 'syndrome', 'immunogenetics']"
immunogenetics,hermansky pudlak syndrome 8 a type of hermansky pudlak syndrome that has material basis in homozygous mutation in the bloc1s3 gene on chromosome 19q13. hermansky pudlak syndrome  immunogenetics,hermansky pudlak syndrome 8 a type of hermansky pudlak syndrome that has material basis in homozygous mutation in the bloc1s3 gene on chromosome 19q13 hermansky pudlak syndrome  immunogenetics,"['hermansky', 'pudlak', 'syndrome', '8', 'a', 'type', 'of', 'hermansky', 'pudlak', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'mutation', 'in', 'the', 'bloc1s3', 'gene', 'on', 'chromosome', '19q13', 'hermansky', 'pudlak', 'syndrome', 'immunogenetics']","['hermansky', 'pudlak', 'syndrome', '8', 'type', 'hermansky', 'pudlak', 'syndrome', 'material', 'basis', 'homozygous', 'mutation', 'bloc1s3', 'gene', 'chromosome', '19q13', 'hermansky', 'pudlak', 'syndrome', 'immunogenetics']"
immunogenetics,hermansky pudlak syndrome 9 a type of hermansky pudlak syndrome that has material basis in homozygous mutation in the gene encoding paladin (bloc1s6) on chromosome 15q21. hermansky pudlak syndrome  immunogenetics,hermansky pudlak syndrome 9 a type of hermansky pudlak syndrome that has material basis in homozygous mutation in the gene encoding paladin bloc1s6 on chromosome 15q21 hermansky pudlak syndrome  immunogenetics,"['hermansky', 'pudlak', 'syndrome', '9', 'a', 'type', 'of', 'hermansky', 'pudlak', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'mutation', 'in', 'the', 'gene', 'encoding', 'paladin', 'bloc1s6', 'on', 'chromosome', '15q21', 'hermansky', 'pudlak', 'syndrome', 'immunogenetics']","['hermansky', 'pudlak', 'syndrome', '9', 'type', 'hermansky', 'pudlak', 'syndrome', 'material', 'basis', 'homozygous', 'mutation', 'gene', 'encoding', 'paladin', 'bloc1s6', 'chromosome', '15q21', 'hermansky', 'pudlak', 'syndrome', 'immunogenetics']"
oncology,luminal breast carcinoma  breast tumor luminal luminal breast cancer  breast carcinoma  oncology,luminal breast carcinoma  breast tumor luminal luminal breast cancer  breast carcinoma  oncology,"['luminal', 'breast', 'carcinoma', 'breast', 'tumor', 'luminal', 'luminal', 'breast', 'cancer', 'breast', 'carcinoma', 'oncology']","['luminal', 'breast', 'carcinoma', 'breast', 'tumor', 'luminal', 'luminal', 'breast', 'cancer', 'breast', 'carcinoma', 'oncology']"
immunogenetics,"barber say syndrome a syndrome characterized by the association of excessive hair growth (hypertrichosis), papery thin and fragile (atrophic) skin, outward turned eyelids (ectropion) and a large mouth (macrostomia). it is that has material basis in heterozygous mutation in the twist2 gene on chromosome 2q37.      syndrome  immunogenetics",barber say syndrome a syndrome characterized by the association of excessive hair growth hypertrichosis papery thin and fragile atrophic skin outward turned eyelids ectropion and a large mouth macrostomia it is that has material basis in heterozygous mutation in the twist2 gene on chromosome 2q37      syndrome  immunogenetics,"['barber', 'say', 'syndrome', 'a', 'syndrome', 'characterized', 'by', 'the', 'association', 'of', 'excessive', 'hair', 'growth', 'hypertrichosis', 'papery', 'thin', 'and', 'fragile', 'atrophic', 'skin', 'outward', 'turned', 'eyelids', 'ectropion', 'and', 'a', 'large', 'mouth', 'macrostomia', 'it', 'is', 'that', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'twist2', 'gene', 'on', 'chromosome', '2q37', 'syndrome', 'immunogenetics']","['barber', 'say', 'syndrome', 'syndrome', 'characterized', 'association', 'excessive', 'hair', 'growth', 'hypertrichosis', 'papery', 'thin', 'fragile', 'atrophic', 'skin', 'outward', 'turned', 'eyelids', 'ectropion', 'large', 'mouth', 'macrostomia', 'material', 'basis', 'heterozygous', 'mutation', 'twist2', 'gene', 'chromosome', '2q37', 'syndrome', 'immunogenetics']"
immunogenetics,"ablepharon macrostomia syndrome a syndrome characterized by  by the association of ablepharon, macrostomia, abnormal external ears, syndactyly of the hands and feet, skin findings (such as dry and coarse skin or redundant folds of skin), absent or sparse hair, genital malformations and developmental delay. other reported manifestations include malar hypoplasia, absent or hypoplastic nipples, umbilical abnormalities and growth retardation. it is that has material basis in heterozygous mutation in the twist2 gene on chromosome 2q37. poikiloderma with neutropenia, clericuzio type syndrome  immunogenetics",ablepharon macrostomia syndrome a syndrome characterized by  by the association of ablepharon macrostomia abnormal external ears syndactyly of the hands and feet skin findings such as dry and coarse skin or redundant folds of skin absent or sparse hair genital malformations and developmental delay other reported manifestations include malar hypoplasia absent or hypoplastic nipples umbilical abnormalities and growth retardation it is that has material basis in heterozygous mutation in the twist2 gene on chromosome 2q37 poikiloderma with neutropenia clericuzio type syndrome  immunogenetics,"['ablepharon', 'macrostomia', 'syndrome', 'a', 'syndrome', 'characterized', 'by', 'by', 'the', 'association', 'of', 'ablepharon', 'macrostomia', 'abnormal', 'external', 'ears', 'syndactyly', 'of', 'the', 'hands', 'and', 'feet', 'skin', 'findings', 'such', 'as', 'dry', 'and', 'coarse', 'skin', 'or', 'redundant', 'folds', 'of', 'skin', 'absent', 'or', 'sparse', 'hair', 'genital', 'malformations', 'and', 'developmental', 'delay', 'other', 'reported', 'manifestations', 'include', 'malar', 'hypoplasia', 'absent', 'or', 'hypoplastic', 'nipples', 'umbilical', 'abnormalities', 'and', 'growth', 'retardation', 'it', 'is', 'that', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'twist2', 'gene', 'on', 'chromosome', '2q37', 'poikiloderma', 'with', 'neutropenia', 'clericuzio', 'type', 'syndrome', 'immunogenetics']","['ablepharon', 'macrostomia', 'syndrome', 'syndrome', 'characterized', 'association', 'ablepharon', 'macrostomia', 'abnormal', 'external', 'ears', 'syndactyly', 'hands', 'feet', 'skin', 'findings', 'dry', 'coarse', 'skin', 'redundant', 'folds', 'skin', 'absent', 'sparse', 'hair', 'genital', 'malformations', 'developmental', 'delay', 'reported', 'manifestations', 'include', 'malar', 'hypoplasia', 'absent', 'hypoplastic', 'nipples', 'umbilical', 'abnormalities', 'growth', 'retardation', 'material', 'basis', 'heterozygous', 'mutation', 'twist2', 'gene', 'chromosome', '2q37', 'poikiloderma', 'neutropenia', 'clericuzio', 'type', 'syndrome', 'immunogenetics']"
immunogenetics,"poikiloderma with neutropenia a skin disease characterized by poikiloderma, hyperkeratotic nails, generalized hyperkeratosis on palms and soles, neutropenia, short stature, and recurrent pulmonary infections. it has material basis in mutation in the c16orf57 gene on chromosome 16q13. skin disease  immunogenetics",poikiloderma with neutropenia a skin disease characterized by poikiloderma hyperkeratotic nails generalized hyperkeratosis on palms and soles neutropenia short stature and recurrent pulmonary infections it has material basis in mutation in the c16orf57 gene on chromosome 16q13 skin disease  immunogenetics,"['poikiloderma', 'with', 'neutropenia', 'a', 'skin', 'disease', 'characterized', 'by', 'poikiloderma', 'hyperkeratotic', 'nails', 'generalized', 'hyperkeratosis', 'on', 'palms', 'and', 'soles', 'neutropenia', 'short', 'stature', 'and', 'recurrent', 'pulmonary', 'infections', 'it', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'c16orf57', 'gene', 'on', 'chromosome', '16q13', 'skin', 'disease', 'immunogenetics']","['poikiloderma', 'neutropenia', 'skin', 'disease', 'characterized', 'poikiloderma', 'hyperkeratotic', 'nails', 'generalized', 'hyperkeratosis', 'palms', 'soles', 'neutropenia', 'short', 'stature', 'recurrent', 'pulmonary', 'infections', 'material', 'basis', 'mutation', 'c16orf57', 'gene', 'chromosome', '16q13', 'skin', 'disease', 'immunogenetics']"
immunogenetics,"kufor rakeb syndrome a disease that is characterized by supranuclear gaze palsy, spasticity, and dementia and has material basis in homozygous or compound heterozygous mutation in a lysosomal type 5 atpase encoding gene (atp13a2) on chromosome 1p36. autosomal recessive juvenile onset parkinson disease 9 autosomal recessive parkinson disease 9 juvenile onset parkinson disease  immunogenetics",kufor rakeb syndrome a disease that is characterized by supranuclear gaze palsy spasticity and dementia and has material basis in homozygous or compound heterozygous mutation in a lysosomal type 5 atpase encoding gene atp13a2 on chromosome 1p36 autosomal recessive juvenile onset parkinson disease 9 autosomal recessive parkinson disease 9 juvenile onset parkinson disease  immunogenetics,"['kufor', 'rakeb', 'syndrome', 'a', 'disease', 'that', 'is', 'characterized', 'by', 'supranuclear', 'gaze', 'palsy', 'spasticity', 'and', 'dementia', 'and', 'has', 'material', 'basis', 'in', 'homozygous', 'or', 'compound', 'heterozygous', 'mutation', 'in', 'a', 'lysosomal', 'type', '5', 'atpase', 'encoding', 'gene', 'atp13a2', 'on', 'chromosome', '1p36', 'autosomal', 'recessive', 'juvenile', 'onset', 'parkinson', 'disease', '9', 'autosomal', 'recessive', 'parkinson', 'disease', '9', 'juvenile', 'onset', 'parkinson', 'disease', 'immunogenetics']","['kufor', 'rakeb', 'syndrome', 'disease', 'characterized', 'supranuclear', 'gaze', 'palsy', 'spasticity', 'dementia', 'material', 'basis', 'homozygous', 'compound', 'heterozygous', 'mutation', 'lysosomal', 'type', '5', 'atpase', 'encoding', 'gene', 'atp13a2', 'chromosome', '1p36', 'autosomal', 'recessive', 'juvenile', 'onset', 'parkinson', 'disease', '9', 'autosomal', 'recessive', 'parkinson', 'disease', '9', 'juvenile', 'onset', 'parkinson', 'disease', 'immunogenetics']"
immunogenetics,ataxia with oculomotor apraxia type 3 ataxia oculomotor apraxia 3  autosomal recessive cerebellar ataxia  immunogenetics,ataxia with oculomotor apraxia type 3 ataxia oculomotor apraxia 3  autosomal recessive cerebellar ataxia  immunogenetics,"['ataxia', 'with', 'oculomotor', 'apraxia', 'type', '3', 'ataxia', 'oculomotor', 'apraxia', '3', 'autosomal', 'recessive', 'cerebellar', 'ataxia', 'immunogenetics']","['ataxia', 'oculomotor', 'apraxia', 'type', '3', 'ataxia', 'oculomotor', 'apraxia', '3', 'autosomal', 'recessive', 'cerebellar', 'ataxia', 'immunogenetics']"
orthopaedics,"lethal congenital contracture syndrome a syndrome characterized by congenital nonprogressive joint contractures. the contractures can involve the upper or lower limbs and/or the vertebral column, leading to various degrees of flexion or extension limitations evident at birth.    syndrome  orthopaedics",lethal congenital contracture syndrome a syndrome characterized by congenital nonprogressive joint contractures the contractures can involve the upper or lower limbs andor the vertebral column leading to various degrees of flexion or extension limitations evident at birth    syndrome  orthopaedics,"['lethal', 'congenital', 'contracture', 'syndrome', 'a', 'syndrome', 'characterized', 'by', 'congenital', 'nonprogressive', 'joint', 'contractures', 'the', 'contractures', 'can', 'involve', 'the', 'upper', 'or', 'lower', 'limbs', 'andor', 'the', 'vertebral', 'column', 'leading', 'to', 'various', 'degrees', 'of', 'flexion', 'or', 'extension', 'limitations', 'evident', 'at', 'birth', 'syndrome', 'orthopaedics']","['lethal', 'congenital', 'contracture', 'syndrome', 'syndrome', 'characterized', 'congenital', 'nonprogressive', 'joint', 'contractures', 'contractures', 'involve', 'upper', 'lower', 'limbs', 'andor', 'vertebral', 'column', 'leading', 'various', 'degrees', 'flexion', 'extension', 'limitations', 'evident', 'birth', 'syndrome', 'orthopaedics']"
immunogenetics,"lethal congenital contracture syndrome 1 a lethal congenital contracture syndrome that has material basis in homozygous or compound heterozygous mutation in the mrna export mediator gle1 on chromosome 9q34. lccs1 multiple contracture syndrome, finnish type lethal congenital contracture syndrome  immunogenetics",lethal congenital contracture syndrome 1 a lethal congenital contracture syndrome that has material basis in homozygous or compound heterozygous mutation in the mrna export mediator gle1 on chromosome 9q34 lccs1 multiple contracture syndrome finnish type lethal congenital contracture syndrome  immunogenetics,"['lethal', 'congenital', 'contracture', 'syndrome', '1', 'a', 'lethal', 'congenital', 'contracture', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'or', 'compound', 'heterozygous', 'mutation', 'in', 'the', 'mrna', 'export', 'mediator', 'gle1', 'on', 'chromosome', '9q34', 'lccs1', 'multiple', 'contracture', 'syndrome', 'finnish', 'type', 'lethal', 'congenital', 'contracture', 'syndrome', 'immunogenetics']","['lethal', 'congenital', 'contracture', 'syndrome', '1', 'lethal', 'congenital', 'contracture', 'syndrome', 'material', 'basis', 'homozygous', 'compound', 'heterozygous', 'mutation', 'mrna', 'export', 'mediator', 'gle1', 'chromosome', '9q34', 'lccs1', 'multiple', 'contracture', 'syndrome', 'finnish', 'type', 'lethal', 'congenital', 'contracture', 'syndrome', 'immunogenetics']"
immunogenetics,"lethal congenital contracture syndrome 2 a lethal congenital contracture syndrome that has material basis in homozygous mutation in the erbb3 gene on chromosome 12q13. lccs2 multiple contracture syndrome, israeli bedouin type     lethal congenital contracture syndrome  immunogenetics",lethal congenital contracture syndrome 2 a lethal congenital contracture syndrome that has material basis in homozygous mutation in the erbb3 gene on chromosome 12q13 lccs2 multiple contracture syndrome israeli bedouin type     lethal congenital contracture syndrome  immunogenetics,"['lethal', 'congenital', 'contracture', 'syndrome', '2', 'a', 'lethal', 'congenital', 'contracture', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'mutation', 'in', 'the', 'erbb3', 'gene', 'on', 'chromosome', '12q13', 'lccs2', 'multiple', 'contracture', 'syndrome', 'israeli', 'bedouin', 'type', 'lethal', 'congenital', 'contracture', 'syndrome', 'immunogenetics']","['lethal', 'congenital', 'contracture', 'syndrome', '2', 'lethal', 'congenital', 'contracture', 'syndrome', 'material', 'basis', 'homozygous', 'mutation', 'erbb3', 'gene', 'chromosome', '12q13', 'lccs2', 'multiple', 'contracture', 'syndrome', 'israeli', 'bedouin', 'type', 'lethal', 'congenital', 'contracture', 'syndrome', 'immunogenetics']"
cardiology,dmd related dilated cardiomyopathy a dilated cardiomyopathy that has material basis in mutations in the dmd gene. dilated cardiomyopathy  cardiology,dmd related dilated cardiomyopathy a dilated cardiomyopathy that has material basis in mutations in the dmd gene dilated cardiomyopathy  cardiology,"['dmd', 'related', 'dilated', 'cardiomyopathy', 'a', 'dilated', 'cardiomyopathy', 'that', 'has', 'material', 'basis', 'in', 'mutations', 'in', 'the', 'dmd', 'gene', 'dilated', 'cardiomyopathy', 'cardiology']","['dmd', 'related', 'dilated', 'cardiomyopathy', 'dilated', 'cardiomyopathy', 'material', 'basis', 'mutations', 'dmd', 'gene', 'dilated', 'cardiomyopathy', 'cardiology']"
cardiology,anomalous left coronary artery from the pulmonary artery a coronary artery anomaly in which the left coronary artery (lca) branches off the pulmonary artery instead of the aortic sinus. alcapa bland white garland syndrome white garland syndrome coronary artery anomaly    cardiology,anomalous left coronary artery from the pulmonary artery a coronary artery anomaly in which the left coronary artery lca branches off the pulmonary artery instead of the aortic sinus alcapa bland white garland syndrome white garland syndrome coronary artery anomaly    cardiology,"['anomalous', 'left', 'coronary', 'artery', 'from', 'the', 'pulmonary', 'artery', 'a', 'coronary', 'artery', 'anomaly', 'in', 'which', 'the', 'left', 'coronary', 'artery', 'lca', 'branches', 'off', 'the', 'pulmonary', 'artery', 'instead', 'of', 'the', 'aortic', 'sinus', 'alcapa', 'bland', 'white', 'garland', 'syndrome', 'white', 'garland', 'syndrome', 'coronary', 'artery', 'anomaly', 'cardiology']","['anomalous', 'left', 'coronary', 'artery', 'pulmonary', 'artery', 'coronary', 'artery', 'anomaly', 'left', 'coronary', 'artery', 'lca', 'branches', 'pulmonary', 'artery', 'instead', 'aortic', 'sinus', 'alcapa', 'bland', 'white', 'garland', 'syndrome', 'white', 'garland', 'syndrome', 'coronary', 'artery', 'anomaly', 'cardiology']"
cardiology,char syndrome a patent ductus arteriosus with facial dysmorphism and abnormal fifth digits. patent ductus arteriosus  cardiology,char syndrome a patent ductus arteriosus with facial dysmorphism and abnormal fifth digits patent ductus arteriosus  cardiology,"['char', 'syndrome', 'a', 'patent', 'ductus', 'arteriosus', 'with', 'facial', 'dysmorphism', 'and', 'abnormal', 'fifth', 'digits', 'patent', 'ductus', 'arteriosus', 'cardiology']","['char', 'syndrome', 'patent', 'ductus', 'arteriosus', 'facial', 'dysmorphism', 'abnormal', 'fifth', 'digits', 'patent', 'ductus', 'arteriosus', 'cardiology']"
orthopaedics,spinal disease musculoskeletal system disease  orthopaedics,spinal disease musculoskeletal system disease  orthopaedics,"['spinal', 'disease', 'musculoskeletal', 'system', 'disease', 'orthopaedics']","['spinal', 'disease', 'musculoskeletal', 'system', 'disease', 'orthopaedics']"
cardiology,"ritscher schinzel syndrome a syndrome by craniofacial (prominent occiput and forehead, hypertelorism, ocular coloboma, cleft palate), cerebellar (dandy walker malformation, cerebellar vermis hypoplasia) and cardiac (tetralogy of fallot, atrial and ventricular septal defects) anomalies. 3c syndrome ccc dysplasia cranio cerebello cardiac dysplasia syndrome cardiology ",ritscher schinzel syndrome a syndrome by craniofacial prominent occiput and forehead hypertelorism ocular coloboma cleft palate cerebellar dandy walker malformation cerebellar vermis hypoplasia and cardiac tetralogy of fallot atrial and ventricular septal defects anomalies 3c syndrome ccc dysplasia cranio cerebello cardiac dysplasia syndrome cardiology ,"['ritscher', 'schinzel', 'syndrome', 'a', 'syndrome', 'by', 'craniofacial', 'prominent', 'occiput', 'and', 'forehead', 'hypertelorism', 'ocular', 'coloboma', 'cleft', 'palate', 'cerebellar', 'dandy', 'walker', 'malformation', 'cerebellar', 'vermis', 'hypoplasia', 'and', 'cardiac', 'tetralogy', 'of', 'fallot', 'atrial', 'and', 'ventricular', 'septal', 'defects', 'anomalies', '3c', 'syndrome', 'ccc', 'dysplasia', 'cranio', 'cerebello', 'cardiac', 'dysplasia', 'syndrome', 'cardiology']","['ritscher', 'schinzel', 'syndrome', 'syndrome', 'craniofacial', 'prominent', 'occiput', 'forehead', 'hypertelorism', 'ocular', 'coloboma', 'cleft', 'palate', 'cerebellar', 'dandy', 'walker', 'malformation', 'cerebellar', 'vermis', 'hypoplasia', 'cardiac', 'tetralogy', 'fallot', 'atrial', 'ventricular', 'septal', 'defects', 'anomalies', '3c', 'syndrome', 'ccc', 'dysplasia', 'cranio', 'cerebello', 'cardiac', 'dysplasia', 'syndrome', 'cardiology']"
cardiology,"holzgreve wagner rehder syndrome a syndrome characterized by potter sequence, heart defect, cleft palate, polydactyly, and skeletal defects. holzgreve syndrome holzgreve wagner rehder syndrome     syndrome  cardiology",holzgreve wagner rehder syndrome a syndrome characterized by potter sequence heart defect cleft palate polydactyly and skeletal defects holzgreve syndrome holzgreve wagner rehder syndrome     syndrome  cardiology,"['holzgreve', 'wagner', 'rehder', 'syndrome', 'a', 'syndrome', 'characterized', 'by', 'potter', 'sequence', 'heart', 'defect', 'cleft', 'palate', 'polydactyly', 'and', 'skeletal', 'defects', 'holzgreve', 'syndrome', 'holzgreve', 'wagner', 'rehder', 'syndrome', 'syndrome', 'cardiology']","['holzgreve', 'wagner', 'rehder', 'syndrome', 'syndrome', 'characterized', 'potter', 'sequence', 'heart', 'defect', 'cleft', 'palate', 'polydactyly', 'skeletal', 'defects', 'holzgreve', 'syndrome', 'holzgreve', 'wagner', 'rehder', 'syndrome', 'syndrome', 'cardiology']"
orthopaedics,"erythema elevatum diutinum a vasculitis characterised by red, purple, brown or yellow papules (raised spot), plaques, or nodules, found on the backs of the hands, other extensor surfaces overlying joints, and on the buttocks.     vasculitis  orthopaedics",erythema elevatum diutinum a vasculitis characterised by red purple brown or yellow papules raised spot plaques or nodules found on the backs of the hands other extensor surfaces overlying joints and on the buttocks     vasculitis  orthopaedics,"['erythema', 'elevatum', 'diutinum', 'a', 'vasculitis', 'characterised', 'by', 'red', 'purple', 'brown', 'or', 'yellow', 'papules', 'raised', 'spot', 'plaques', 'or', 'nodules', 'found', 'on', 'the', 'backs', 'of', 'the', 'hands', 'other', 'extensor', 'surfaces', 'overlying', 'joints', 'and', 'on', 'the', 'buttocks', 'vasculitis', 'orthopaedics']","['erythema', 'elevatum', 'diutinum', 'vasculitis', 'characterised', 'red', 'purple', 'brown', 'yellow', 'papules', 'raised', 'spot', 'plaques', 'nodules', 'found', 'backs', 'hands', 'extensor', 'surfaces', 'overlying', 'joints', 'buttocks', 'vasculitis', 'orthopaedics']"
cardiology,"hypertrichotic osteochondrodysplasia cantu type an osteochondrodysplasia characterized by congenital hypertrichosis, neonatal macrosomia, and cardiomegaly. cantu syndrome   osteochondrodysplasia  cardiology",hypertrichotic osteochondrodysplasia cantu type an osteochondrodysplasia characterized by congenital hypertrichosis neonatal macrosomia and cardiomegaly cantu syndrome   osteochondrodysplasia  cardiology,"['hypertrichotic', 'osteochondrodysplasia', 'cantu', 'type', 'an', 'osteochondrodysplasia', 'characterized', 'by', 'congenital', 'hypertrichosis', 'neonatal', 'macrosomia', 'and', 'cardiomegaly', 'cantu', 'syndrome', 'osteochondrodysplasia', 'cardiology']","['hypertrichotic', 'osteochondrodysplasia', 'cantu', 'type', 'osteochondrodysplasia', 'characterized', 'congenital', 'hypertrichosis', 'neonatal', 'macrosomia', 'cardiomegaly', 'cantu', 'syndrome', 'osteochondrodysplasia', 'cardiology']"
cardiology,cardiac tuberculosis cardiovascular tuberculosis  tuberculosis  cardiology,cardiac tuberculosis cardiovascular tuberculosis  tuberculosis  cardiology,"['cardiac', 'tuberculosis', 'cardiovascular', 'tuberculosis', 'tuberculosis', 'cardiology']","['cardiac', 'tuberculosis', 'cardiovascular', 'tuberculosis', 'tuberculosis', 'cardiology']"
immunogenetics,ritscher schinzel syndrome 1 a ritscher schinzel syndrome that has material basis in homozygous mutation in the kiaa0196 gene on chromosome 8q24.   ritscher schinzel syndrome  immunogenetics,ritscher schinzel syndrome 1 a ritscher schinzel syndrome that has material basis in homozygous mutation in the kiaa0196 gene on chromosome 8q24   ritscher schinzel syndrome  immunogenetics,"['ritscher', 'schinzel', 'syndrome', '1', 'a', 'ritscher', 'schinzel', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'mutation', 'in', 'the', 'kiaa0196', 'gene', 'on', 'chromosome', '8q24', 'ritscher', 'schinzel', 'syndrome', 'immunogenetics']","['ritscher', 'schinzel', 'syndrome', '1', 'ritscher', 'schinzel', 'syndrome', 'material', 'basis', 'homozygous', 'mutation', 'kiaa0196', 'gene', 'chromosome', '8q24', 'ritscher', 'schinzel', 'syndrome', 'immunogenetics']"
immunogenetics,ritscher schinzel syndrome 2 a ritscher schinzel syndrome that has material basis in mutation in the ccdc22 gene on chromosome xp11.   ritscher schinzel syndrome  immunogenetics,ritscher schinzel syndrome 2 a ritscher schinzel syndrome that has material basis in mutation in the ccdc22 gene on chromosome xp11   ritscher schinzel syndrome  immunogenetics,"['ritscher', 'schinzel', 'syndrome', '2', 'a', 'ritscher', 'schinzel', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'ccdc22', 'gene', 'on', 'chromosome', 'xp11', 'ritscher', 'schinzel', 'syndrome', 'immunogenetics']","['ritscher', 'schinzel', 'syndrome', '2', 'ritscher', 'schinzel', 'syndrome', 'material', 'basis', 'mutation', 'ccdc22', 'gene', 'chromosome', 'xp11', 'ritscher', 'schinzel', 'syndrome', 'immunogenetics']"
immunogenetics,von willebrand's disease 1 von willebrand's disease  immunogenetics,von willebrands disease 1 von willebrands disease  immunogenetics,"['von', 'willebrands', 'disease', '1', 'von', 'willebrands', 'disease', 'immunogenetics']","['von', 'willebrands', 'disease', '1', 'von', 'willebrands', 'disease', 'immunogenetics']"
immunogenetics,von willebrand's disease 2 von willebrand's disease  immunogenetics,von willebrands disease 2 von willebrands disease  immunogenetics,"['von', 'willebrands', 'disease', '2', 'von', 'willebrands', 'disease', 'immunogenetics']","['von', 'willebrands', 'disease', '2', 'von', 'willebrands', 'disease', 'immunogenetics']"
immunogenetics,3mc syndrome 1 a type of 3mc syndrome which is that has material basis in homozygous mutation in the masp1 gene on chromosome 3q27.  3mc syndrome  immunogenetics,3mc syndrome 1 a type of 3mc syndrome which is that has material basis in homozygous mutation in the masp1 gene on chromosome 3q27  3mc syndrome  immunogenetics,"['3mc', 'syndrome', '1', 'a', 'type', 'of', '3mc', 'syndrome', 'which', 'is', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'mutation', 'in', 'the', 'masp1', 'gene', 'on', 'chromosome', '3q27', '3mc', 'syndrome', 'immunogenetics']","['3mc', 'syndrome', '1', 'type', '3mc', 'syndrome', 'material', 'basis', 'homozygous', 'mutation', 'masp1', 'gene', 'chromosome', '3q27', '3mc', 'syndrome', 'immunogenetics']"
immunogenetics,3mc syndrome 2 a type of 3mc syndrome which is that has material basis in homozygous mutation in the colec11 gene on chromosome 2p25.  3mc syndrome   immunogenetics,3mc syndrome 2 a type of 3mc syndrome which is that has material basis in homozygous mutation in the colec11 gene on chromosome 2p25  3mc syndrome   immunogenetics,"['3mc', 'syndrome', '2', 'a', 'type', 'of', '3mc', 'syndrome', 'which', 'is', 'that', 'has', 'material', 'basis', 'in', 'homozygous', 'mutation', 'in', 'the', 'colec11', 'gene', 'on', 'chromosome', '2p25', '3mc', 'syndrome', 'immunogenetics']","['3mc', 'syndrome', '2', 'type', '3mc', 'syndrome', 'material', 'basis', 'homozygous', 'mutation', 'colec11', 'gene', 'chromosome', '2p25', '3mc', 'syndrome', 'immunogenetics']"
immunogenetics,3mc syndrome 3  3mc syndrome  immunogenetics,3mc syndrome 3  3mc syndrome  immunogenetics,"['3mc', 'syndrome', '3', '3mc', 'syndrome', 'immunogenetics']","['3mc', 'syndrome', '3', '3mc', 'syndrome', 'immunogenetics']"
